contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
SPY260113C00500000,2026-01-13 14:53:48+00:00,500.0,194.95,192.33,195.13,0.13999939,0.07186458,15.0,0.0,3.406251484375,True,REGULAR,USD,call
SPY260113C00550000,2026-01-05 16:17:04+00:00,550.0,140.25,142.33,145.13,0.0,0.0,,0.0,2.5478551928710935,True,REGULAR,USD,call
SPY260113C00595000,2026-01-13 15:30:26+00:00,595.0,97.7,97.33,100.13,-0.29000092,-0.29594952,3.0,0.0,1.8139657739257813,True,REGULAR,USD,call
SPY260113C00600000,2026-01-13 19:21:30+00:00,600.0,92.92,92.33,95.13,-2.1200027,-2.2306426,24.0,0.0,1.7338880493164064,True,REGULAR,USD,call
SPY260113C00605000,2026-01-13 15:08:30+00:00,605.0,89.01,87.33,90.13,-1.5599976,-1.722422,5.0,0.0,1.6538103247070315,True,REGULAR,USD,call
SPY260113C00615000,2026-01-13 14:41:25+00:00,615.0,80.71,77.33,80.13,1.2799988,1.6114802,11.0,,1.4936548754882812,True,REGULAR,USD,call
SPY260113C00620000,2026-01-13 15:07:10+00:00,620.0,73.21,72.33,75.13,6.8399963,10.305855,20.0,0.0,1.4135771508789063,True,REGULAR,USD,call
SPY260113C00625000,2026-01-13 18:03:33+00:00,625.0,67.47,67.33,70.13,0.55999756,0.8369415,2.0,0.0,1.333499426269531,True,REGULAR,USD,call
SPY260113C00630000,2026-01-13 17:50:15+00:00,630.0,63.94,62.33,65.13,-1.420002,-2.1725857,43.0,0.0,1.2529334228515623,True,REGULAR,USD,call
SPY260113C00635000,2026-01-13 15:55:11+00:00,635.0,58.55,57.33,60.13,9.73,19.930355,32.0,0.0,1.1726115588378905,True,REGULAR,USD,call
SPY260113C00640000,2026-01-13 16:51:54+00:00,640.0,55.05,52.33,55.13,0.5999985,1.1019256,47.0,,1.091801416015625,True,REGULAR,USD,call
